# Ir,Pd,Pt,Rh,Ru,fd,fd_se
0.60,0.00,0.00,0.00,0.40,0.583784,0.019565
0.50,0.50,0.00,0.00,0.00,0.797973,0.019212
0.50,0.40,0.10,0.00,0.00,0.802027,0.012577
0.50,0.40,0.00,0.10,0.00,0.721622,0.019832
0.50,0.40,0.00,0.00,0.10,0.625676,0.012749
0.50,0.30,0.20,0.00,0.00,0.820946,0.016061
0.50,0.30,0.10,0.10,0.00,0.762162,0.025068
0.50,0.30,0.10,0.00,0.10,0.701351,0.022399
0.50,0.30,0.00,0.20,0.00,0.689189,0.018349
0.50,0.30,0.00,0.10,0.10,0.635135,0.022384
0.50,0.30,0.00,0.00,0.20,0.573649,0.024254
0.50,0.20,0.30,0.00,0.00,0.878378,0.005753
0.50,0.20,0.20,0.10,0.00,0.823649,0.024789
0.50,0.20,0.20,0.00,0.10,0.684459,0.021542
0.50,0.20,0.10,0.20,0.00,0.779730,0.027496
0.50,0.20,0.10,0.10,0.10,0.625000,0.035044
0.50,0.20,0.10,0.00,0.20,0.591216,0.040863
0.50,0.20,0.00,0.30,0.00,0.705405,0.018700
0.50,0.20,0.00,0.20,0.10,0.673649,0.017378
0.50,0.20,0.00,0.10,0.20,0.562162,0.023299
0.50,0.20,0.00,0.00,0.30,0.556757,0.020422
0.50,0.10,0.40,0.00,0.00,0.910811,0.009472
0.50,0.10,0.30,0.10,0.00,0.886486,0.011781
0.50,0.10,0.30,0.00,0.10,0.752703,0.024441
0.50,0.10,0.20,0.20,0.00,0.827703,0.019554
0.50,0.10,0.20,0.10,0.10,0.745270,0.021060
0.50,0.10,0.20,0.00,0.20,0.677027,0.026269
0.50,0.10,0.10,0.30,0.00,0.781757,0.019630
0.50,0.10,0.10,0.20,0.10,0.709459,0.019525
0.50,0.10,0.10,0.10,0.20,0.654730,0.020891
0.50,0.10,0.10,0.00,0.30,0.603378,0.019688
0.50,0.10,0.00,0.40,0.00,0.712838,0.046604
0.50,0.10,0.00,0.30,0.10,0.685811,0.009375
0.50,0.10,0.00,0.20,0.20,0.610135,0.021832
0.50,0.10,0.00,0.10,0.30,0.570946,0.043684
0.50,0.10,0.00,0.00,0.40,0.536486,0.028813
0.50,0.00,0.50,0.00,0.00,0.960811,0.008849
0.50,0.00,0.40,0.10,0.00,0.902027,0.022963
0.50,0.00,0.40,0.00,0.10,0.804054,0.013514
0.50,0.00,0.30,0.20,0.00,0.890541,0.026377
0.50,0.00,0.30,0.10,0.10,0.801351,0.008640
0.50,0.00,0.30,0.00,0.20,0.745270,0.031721
0.50,0.00,0.20,0.30,0.00,0.831081,0.016202
0.50,0.00,0.20,0.20,0.10,0.808108,0.011916
0.50,0.00,0.20,0.10,0.20,0.681081,0.027292
0.50,0.00,0.20,0.00,0.30,0.631081,0.028091
0.50,0.00,0.10,0.40,0.00,0.825000,0.023195
0.50,0.00,0.10,0.30,0.10,0.748649,0.012348
0.50,0.00,0.10,0.20,0.20,0.668243,0.031771
0.50,0.00,0.10,0.10,0.30,0.630405,0.024141
0.50,0.00,0.10,0.00,0.40,0.532432,0.021276
0.50,0.00,0.00,0.50,0.00,0.833108,0.030266
0.50,0.00,0.00,0.40,0.10,0.759459,0.025313
0.50,0.00,0.00,0.30,0.20,0.641216,0.040022
0.50,0.00,0.00,0.20,0.30,0.608108,0.017489
0.50,0.00,0.00,0.10,0.40,0.501351,0.031936
0.50,0.00,0.00,0.00,0.50,0.495270,0.017768
0.40,0.60,0.00,0.00,0.00,0.690541,0.014277
0.40,0.50,0.10,0.00,0.00,0.737838,0.009350
0.40,0.50,0.00,0.10,0.00,0.648649,0.033733
0.40,0.50,0.00,0.00,0.10,0.562162,0.013913
0.40,0.40,0.20,0.00,0.00,0.783784,0.022435
0.40,0.40,0.10,0.10,0.00,0.716892,0.012523
0.40,0.40,0.10,0.00,0.10,0.556757,0.025268
0.40,0.40,0.00,0.20,0.00,0.610811,0.028774
0.40,0.40,0.00,0.10,0.10,0.521622,0.021753
0.40,0.40,0.00,0.00,0.20,0.485811,0.025937
0.40,0.30,0.30,0.00,0.00,0.801351,0.018268
0.40,0.30,0.20,0.10,0.00,0.723649,0.009399
0.40,0.30,0.20,0.00,0.10,0.636486,0.014036
0.40,0.30,0.10,0.20,0.00,0.698649,0.019740
0.40,0.30,0.10,0.10,0.10,0.576351,0.026892
0.40,0.30,0.10,0.00,0.20,0.506757,0.016237
0.40,0.30,0.00,0.30,0.00,0.558108,0.013781
0.40,0.30,0.00,0.20,0.10,0.470946,0.025831
0.40,0.30,0.00,0.10,0.20,0.435811,0.022076
0.40,0.30,0.00,0.00,0.30,0.466216,0.024008
0.40,0.20,0.40,0.00,0.00,0.838514,0.009399
0.40,0.20,0.30,0.10,0.00,0.802027,0.021988
0.40,0.20,0.30,0.00,0.10,0.656757,0.014436
0.40,0.20,0.20,0.20,0.00,0.724324,0.025205
0.40,0.20,0.20,0.10,0.10,0.607432,0.033297
0.40,0.20,0.20,0.00,0.20,0.564865,0.031879
0.40,0.20,0.10,0.30,0.00,0.628378,0.026278
0.40,0.20,0.10,0.20,0.10,0.576351,0.020594
0.40,0.20,0.10,0.10,0.20,0.502027,0.029405
0.40,0.20,0.10,0.00,0.30,0.491216,0.026485
0.40,0.20,0.00,0.40,0.00,0.544595,0.036533
0.40,0.20,0.00,0.30,0.10,0.457432,0.024376
0.40,0.20,0.00,0.20,0.20,0.407432,0.017542
0.40,0.20,0.00,0.10,0.30,0.425000,0.028051
0.40,0.20,0.00,0.00,0.40,0.421622,0.023946
0.40,0.10,0.50,0.00,0.00,0.887838,0.016004
0.40,0.10,0.40,0.10,0.00,0.818243,0.015533
0.40,0.10,0.40,0.00,0.10,0.687162,0.031341
0.40,0.10,0.30,0.20,0.00,0.770270,0.026234
0.40,0.10,0.30,0.10,0.10,0.668243,0.018973
0.40,0.10,0.30,0.00,0.20,0.582432,0.026116
0.40,0.10,0.20,0.30,0.00,0.693919,0.049150
0.40,0.10,0.20,0.20,0.10,0.662838,0.030488
0.40,0.10,0.20,0.10,0.20,0.594595,0.017619
0.40,0.10,0.20,0.00,0.30,0.561486,0.015348
0.40,0.10,0.10,0.40,0.00,0.647973,0.025041
0.40,0.10,0.10,0.30,0.10,0.606757,0.033112
0.40,0.10,0.10,0.20,0.20,0.539865,0.024627
0.40,0.10,0.10,0.10,0.30,0.514189,0.029978
0.40,0.10,0.10,0.00,0.40,0.462162,0.035197
0.40,0.10,0.00,0.50,0.00,0.566892,0.036953
0.40,0.10,0.00,0.40,0.10,0.536486,0.012153
0.40,0.10,0.00,0.30,0.20,0.502703,0.034985
0.40,0.10,0.00,0.20,0.30,0.458108,0.029464
0.40,0.10,0.00,0.10,0.40,0.387838,0.030693
0.40,0.10,0.00,0.00,0.50,0.401351,0.022445
0.40,0.00,0.60,0.00,0.00,0.926351,0.012431
0.40,0.00,0.50,0.10,0.00,0.876351,0.026116
0.40,0.00,0.50,0.00,0.10,0.765541,0.021329
0.40,0.00,0.40,0.20,0.00,0.837162,0.015161
0.40,0.00,0.40,0.10,0.10,0.756757,0.025884
0.40,0.00,0.40,0.00,0.20,0.729730,0.011703
0.40,0.00,0.30,0.30,0.00,0.756757,0.035158
0.40,0.00,0.30,0.20,0.10,0.739189,0.023318
0.40,0.00,0.30,0.10,0.20,0.612162,0.032744
0.40,0.00,0.30,0.00,0.30,0.639865,0.018584
0.40,0.00,0.20,0.40,0.00,0.714189,0.028698
0.40,0.00,0.20,0.30,0.10,0.695946,0.022256
0.40,0.00,0.20,0.20,0.20,0.596622,0.030993
0.40,0.00,0.20,0.10,0.30,0.593919,0.024017
0.40,0.00,0.20,0.00,0.40,0.543919,0.033325
0.40,0.00,0.10,0.50,0.00,0.644595,0.037717
0.40,0.00,0.10,0.40,0.10,0.643919,0.032025
0.40,0.00,0.10,0.30,0.20,0.574324,0.022638
0.40,0.00,0.10,0.20,0.30,0.516892,0.028366
0.40,0.00,0.10,0.10,0.40,0.463514,0.024720
0.40,0.00,0.10,0.00,0.50,0.419595,0.029304
0.40,0.00,0.00,0.60,0.00,0.647973,0.042107
0.40,0.00,0.00,0.50,0.10,0.630405,0.026700
0.40,0.00,0.00,0.40,0.20,0.489865,0.028527
0.40,0.00,0.00,0.30,0.30,0.497297,0.031464
0.40,0.00,0.00,0.20,0.40,0.447973,0.034479
0.40,0.00,0.00,0.10,0.50,0.384459,0.031136
0.40,0.00,0.00,0.00,0.60,0.325000,0.012200
0.30,0.70,0.00,0.00,0.00,0.680405,0.028678
0.30,0.60,0.10,0.00,0.00,0.718919,0.033485
0.30,0.60,0.00,0.10,0.00,0.537838,0.028794
0.30,0.60,0.00,0.00,0.10,0.463514,0.010544
0.30,0.50,0.20,0.00,0.00,0.760811,0.020478
0.30,0.50,0.10,0.10,0.00,0.619595,0.010715
0.30,0.50,0.10,0.00,0.10,0.550000,0.023779
0.30,0.50,0.00,0.20,0.00,0.500000,0.019554
0.30,0.50,0.00,0.10,0.10,0.471622,0.021516
0.30,0.50,0.00,0.00,0.20,0.431081,0.023126
0.30,0.40,0.30,0.00,0.00,0.789189,0.014317
0.30,0.40,0.20,0.10,0.00,0.673649,0.010768
0.30,0.40,0.20,0.00,0.10,0.568243,0.014703
0.30,0.40,0.10,0.20,0.00,0.555405,0.028237
0.30,0.40,0.10,0.10,0.10,0.508108,0.032096
0.30,0.40,0.10,0.00,0.20,0.458108,0.025764
0.30,0.40,0.00,0.30,0.00,0.434459,0.018676
0.30,0.40,0.00,0.20,0.10,0.415541,0.011051
0.30,0.40,0.00,0.10,0.20,0.375000,0.020072
0.30,0.40,0.00,0.00,0.30,0.345270,0.013318
0.30,0.30,0.40,0.00,0.00,0.823649,0.016286
0.30,0.30,0.30,0.10,0.00,0.734459,0.012532
0.30,0.30,0.30,0.00,0.10,0.592568,0.018553
0.30,0.30,0.20,0.20,0.00,0.610811,0.019272
0.30,0.30,0.20,0.10,0.10,0.560811,0.023037
0.30,0.30,0.20,0.00,0.20,0.469595,0.021233
0.30,0.30,0.10,0.30,0.00,0.514865,0.013197
0.30,0.30,0.10,0.20,0.10,0.485135,0.007966
0.30,0.30,0.10,0.10,0.20,0.416216,0.018080
0.30,0.30,0.10,0.00,0.30,0.382432,0.017889
0.30,0.30,0.00,0.40,0.00,0.431081,0.018949
0.30,0.30,0.00,0.30,0.10,0.330405,0.024371
0.30,0.30,0.00,0.20,0.20,0.351351,0.018256
0.30,0.30,0.00,0.10,0.30,0.320946,0.014173
0.30,0.30,0.00,0.00,0.40,0.347973,0.018411
0.30,0.20,0.50,0.00,0.00,0.875676,0.009215
0.30,0.20,0.40,0.10,0.00,0.801351,0.011477
0.30,0.20,0.40,0.00,0.10,0.628378,0.022838
0.30,0.20,0.30,0.20,0.00,0.689865,0.022998
0.30,0.20,0.30,0.10,0.10,0.562838,0.025340
0.30,0.20,0.30,0.00,0.20,0.511486,0.020427
0.30,0.20,0.20,0.30,0.00,0.577027,0.015716
0.30,0.20,0.20,0.20,0.10,0.510135,0.025168
0.30,0.20,0.20,0.10,0.20,0.446622,0.016461
0.30,0.20,0.20,0.00,0.30,0.406757,0.009884
0.30,0.20,0.10,0.40,0.00,0.433784,0.020427
0.30,0.20,0.10,0.30,0.10,0.395946,0.024950
0.30,0.20,0.10,0.20,0.20,0.391216,0.022521
0.30,0.20,0.10,0.10,0.30,0.347973,0.016272
0.30,0.20,0.10,0.00,0.40,0.337162,0.023440
0.30,0.20,0.00,0.50,0.00,0.310811,0.023769
0.30,0.20,0.00,0.40,0.10,0.297973,0.028253
0.30,0.20,0.00,0.30,0.20,0.316892,0.022138
0.30,0.20,0.00,0.20,0.30,0.309459,0.012021
0.30,0.20,0.00,0.10,0.40,0.317568,0.020355
0.30,0.20,0.00,0.00,0.50,0.295946,0.020979
0.30,0.10,0.60,0.00,0.00,0.904054,0.012891
0.30,0.10,0.50,0.10,0.00,0.809459,0.023975
0.30,0.10,0.50,0.00,0.10,0.677027,0.022220
0.30,0.10,0.40,0.20,0.00,0.734459,0.020231
0.30,0.10,0.40,0.10,0.10,0.636486,0.021249
0.30,0.10,0.40,0.00,0.20,0.533784,0.039005
0.30,0.10,0.30,0.30,0.00,0.644595,0.012523
0.30,0.10,0.30,0.20,0.10,0.558784,0.022878
0.30,0.10,0.30,0.10,0.20,0.497297,0.038033
0.30,0.10,0.30,0.00,0.30,0.502027,0.017736
0.30,0.10,0.20,0.40,0.00,0.539189,0.012162
0.30,0.10,0.20,0.30,0.10,0.508784,0.033094
0.30,0.10,0.20,0.20,0.20,0.434459,0.019454
0.30,0.10,0.20,0.10,0.30,0.450000,0.022848
0.30,0.10,0.20,0.00,0.40,0.400000,0.027040
0.30,0.10,0.10,0.50,0.00,0.443243,0.030413
0.30,0.10,0.10,0.40,0.10,0.429730,0.016461
0.30,0.10,0.10,0.30,0.20,0.412162,0.037498
0.30,0.10,0.10,0.20,0.30,0.395946,0.035712
0.30,0.10,0.10,0.10,0.40,0.329730,0.019630
0.30,0.10,0.10,0.00,0.50,0.316216,0.016640
0.30,0.10,0.00,0.60,0.00,0.287162,0.029316
0.30,0.10,0.00,0.50,0.10,0.297973,0.026112
0.30,0.10,0.00,0.40,0.20,0.337162,0.021136
0.30,0.10,0.00,0.30,0.30,0.347297,0.029226
0.30,0.10,0.00,0.20,0.40,0.323649,0.025538
0.30,0.10,0.00,0.10,0.50,0.295946,0.017113
0.30,0.10,0.00,0.00,0.60,0.306757,0.007355
0.30,0.00,0.70,0.00,0.00,0.916892,0.016046
0.30,0.00,0.60,0.10,0.00,0.824324,0.028386
0.30,0.00,0.60,0.00,0.10,0.695946,0.016993
0.30,0.00,0.50,0.20,0.00,0.768919,0.011133
0.30,0.00,0.50,0.10,0.10,0.681081,0.027166
0.30,0.00,0.50,0.00,0.20,0.614189,0.023779
0.30,0.00,0.40,0.30,0.00,0.704730,0.022728
0.30,0.00,0.40,0.20,0.10,0.625000,0.021737
0.30,0.00,0.40,0.10,0.20,0.554730,0.039779
0.30,0.00,0.40,0.00,0.30,0.578378,0.019884
0.30,0.00,0.30,0.40,0.00,0.609459,0.020483
0.30,0.00,0.30,0.30,0.10,0.551351,0.036393
0.30,0.00,0.30,0.20,0.20,0.547297,0.027715
0.30,0.00,0.30,0.10,0.30,0.490541,0.018822
0.30,0.00,0.30,0.00,0.40,0.510135,0.025884
0.30,0.00,0.20,0.50,0.00,0.552027,0.033760
0.30,0.00,0.20,0.40,0.10,0.504730,0.031739
0.30,0.00,0.20,0.30,0.20,0.547973,0.019912
0.30,0.00,0.20,0.20,0.30,0.466216,0.034019
0.30,0.00,0.20,0.10,0.40,0.438514,0.018331
0.30,0.00,0.20,0.00,0.50,0.377027,0.031613
0.30,0.00,0.10,0.60,0.00,0.506757,0.040751
0.30,0.00,0.10,0.50,0.10,0.531757,0.014554
0.30,0.00,0.10,0.40,0.20,0.455405,0.023634
0.30,0.00,0.10,0.30,0.30,0.394595,0.023779
0.30,0.00,0.10,0.20,0.40,0.376351,0.029599
0.30,0.00,0.10,0.10,0.50,0.308108,0.029246
0.30,0.00,0.10,0.00,0.60,0.266892,0.011457
0.30,0.00,0.00,0.70,0.00,0.068243,0.068243
0.30,0.00,0.00,0.60,0.10,0.180405,0.112422
0.30,0.00,0.00,0.50,0.20,0.088514,0.088514
0.30,0.00,0.00,0.40,0.30,0.239865,0.071427
0.30,0.00,0.00,0.30,0.40,0.260811,0.067241
0.30,0.00,0.00,0.20,0.50,0.282432,0.020760
0.30,0.00,0.00,0.10,0.60,0.274324,0.023994
0.30,0.00,0.00,0.00,0.70,0.261486,0.009826
0.20,0.80,0.00,0.00,0.00,0.566216,0.026785
0.20,0.70,0.10,0.00,0.00,0.666216,0.012431
0.20,0.70,0.00,0.10,0.00,0.487162,0.024766
0.20,0.70,0.00,0.00,0.10,0.453378,0.012293
0.20,0.60,0.20,0.00,0.00,0.728378,0.006637
0.20,0.60,0.10,0.10,0.00,0.602703,0.013111
0.20,0.60,0.10,0.00,0.10,0.519595,0.018424
0.20,0.60,0.00,0.20,0.00,0.435135,0.027764
0.20,0.60,0.00,0.10,0.10,0.394595,0.023391
0.20,0.60,0.00,0.00,0.20,0.386486,0.006284
0.20,0.50,0.30,0.00,0.00,0.786486,0.016667
0.20,0.50,0.20,0.10,0.00,0.653378,0.012623
0.20,0.50,0.20,0.00,0.10,0.544595,0.028853
0.20,0.50,0.10,0.20,0.00,0.540541,0.021206
0.20,0.50,0.10,0.10,0.10,0.481757,0.015206
0.20,0.50,0.10,0.00,0.20,0.424324,0.013240
0.20,0.50,0.00,0.30,0.00,0.397973,0.018017
0.20,0.50,0.00,0.20,0.10,0.347973,0.017877
0.20,0.50,0.00,0.10,0.20,0.345946,0.013539
0.20,0.50,0.00,0.00,0.30,0.327703,0.013258
0.20,0.40,0.40,0.00,0.00,0.835135,0.011771
0.20,0.40,0.30,0.10,0.00,0.700676,0.017509
0.20,0.40,0.30,0.00,0.10,0.548649,0.021087
0.20,0.40,0.20,0.20,0.00,0.614189,0.025760
0.20,0.40,0.20,0.10,0.10,0.511486,0.019069
0.20,0.40,0.20,0.00,0.20,0.442568,0.033699
0.20,0.40,0.10,0.30,0.00,0.479054,0.020338
0.20,0.40,0.10,0.20,0.10,0.411486,0.027078
0.20,0.40,0.10,0.10,0.20,0.343919,0.019063
0.20,0.40,0.10,0.00,0.30,0.331081,0.015665
0.20,0.40,0.00,0.40,0.00,0.316892,0.016075
0.20,0.40,0.00,0.30,0.10,0.287838,0.025804
0.20,0.40,0.00,0.20,0.20,0.294595,0.014229
0.20,0.40,0.00,0.10,0.30,0.254054,0.009153
0.20,0.40,0.00,0.00,0.40,0.235135,0.022653
0.20,0.30,0.50,0.00,0.00,0.878378,0.019786
0.20,0.30,0.40,0.10,0.00,0.766892,0.006924
0.20,0.30,0.40,0.00,0.10,0.578378,0.017535
0.20,0.30,0.30,0.20,0.00,0.688514,0.007952
0.20,0.30,0.30,0.10,0.10,0.510811,0.017306
0.20,0.30,0.30,0.00,0.20,0.451351,0.012577
0.20,0.30,0.20,0.30,0.00,0.538514,0.014980
0.20,0.30,0.20,0.20,0.10,0.456757,0.016356
0.20,0.30,0.20,0.10,0.20,0.428378,0.021905
0.20,0.30,0.20,0.00,0.30,0.375676,0.009639
0.20,0.30,0.10,0.40,0.00,0.432432,0.017587
0.20,0.30,0.10,0.30,0.10,0.409459,0.017600
0.20,0.30,0.10,0.20,0.20,0.352703,0.025114
0.20,0.30,0.10,0.10,0.30,0.286486,0.018331
0.20,0.30,0.10,0.00,0.40,0.297297,0.008613
0.20,0.30,0.00,0.50,0.00,0.275000,0.021701
0.20,0.30,0.00,0.40,0.10,0.263514,0.020214
0.20,0.30,0.00,0.30,0.20,0.253378,0.020494
0.20,0.30,0.00,0.20,0.30,0.233784,0.015968
0.20,0.30,0.00,0.10,0.40,0.212838,0.012775
0.20,0.30,0.00,0.00,0.50,0.200676,0.004849
0.20,0.20,0.60,0.00,0.00,0.878378,0.011703
0.20,0.20,0.50,0.10,0.00,0.787162,0.018931
0.20,0.20,0.50,0.00,0.10,0.605405,0.020533
0.20,0.20,0.40,0.20,0.00,0.702027,0.011020
0.20,0.20,0.40,0.10,0.10,0.554054,0.011256
0.20,0.20,0.40,0.00,0.20,0.485135,0.025385
0.20,0.20,0.30,0.30,0.00,0.591892,0.013145
0.20,0.20,0.30,0.20,0.10,0.476351,0.019843
0.20,0.20,0.30,0.10,0.20,0.439189,0.004273
0.20,0.20,0.30,0.00,0.30,0.386486,0.010926
0.20,0.20,0.20,0.40,0.00,0.481081,0.013665
0.20,0.20,0.20,0.30,0.10,0.441216,0.029230
0.20,0.20,0.20,0.20,0.20,0.372297,0.023803
0.20,0.20,0.20,0.10,0.30,0.333784,0.022471
0.20,0.20,0.20,0.00,0.40,0.307432,0.016722
0.20,0.20,0.10,0.50,0.00,0.301351,0.017306
0.20,0.20,0.10,0.40,0.10,0.316892,0.013014
0.20,0.20,0.10,0.30,0.20,0.268919,0.022728
0.20,0.20,0.10,0.20,0.30,0.276351,0.013488
0.20,0.20,0.10,0.10,0.40,0.264865,0.014397
0.20,0.20,0.10,0.00,0.50,0.236486,0.011306
0.20,0.20,0.00,0.60,0.00,0.162838,0.048787
0.20,0.20,0.00,0.50,0.10,0.181081,0.012935
0.20,0.20,0.00,0.40,0.20,0.231081,0.013913
0.20,0.20,0.00,0.30,0.30,0.183784,0.015281
0.20,0.20,0.00,0.20,0.40,0.156081,0.015496
0.20,0.20,0.00,0.10,0.50,0.164865,0.012568
0.20,0.20,0.00,0.00,0.60,0.178378,0.006533
0.20,0.10,0.70,0.00,0.00,0.885135,0.011944
0.20,0.10,0.60,0.10,0.00,0.799324,0.019129
0.20,0.10,0.60,0.00,0.10,0.612162,0.023294
0.20,0.10,0.50,0.20,0.00,0.716216,0.016342
0.20,0.10,0.50,0.10,0.10,0.571622,0.026438
0.20,0.10,0.50,0.00,0.20,0.487162,0.021136
0.20,0.10,0.40,0.30,0.00,0.606081,0.014980
0.20,0.10,0.40,0.20,0.10,0.518919,0.029925
0.20,0.10,0.40,0.10,0.20,0.437162,0.016743
0.20,0.10,0.40,0.00,0.30,0.447297,0.012162
0.20,0.10,0.30,0.40,0.00,0.483108,0.025795
0.20,0.10,0.30,0.30,0.10,0.470270,0.019331
0.20,0.10,0.30,0.20,0.20,0.441216,0.021648
0.20,0.10,0.30,0.10,0.30,0.398649,0.033478
0.20,0.10,0.30,0.00,0.40,0.333784,0.021695
0.20,0.10,0.20,0.50,0.00,0.439865,0.020533
0.20,0.10,0.20,0.40,0.10,0.378378,0.007246
0.20,0.10,0.20,0.30,0.20,0.372973,0.009472
0.20,0.10,0.20,0.20,0.30,0.329054,0.015832
0.20,0.10,0.20,0.10,0.40,0.271622,0.021648
0.20,0.10,0.20,0.00,0.50,0.310811,0.024008
0.20,0.10,0.10,0.60,0.00,0.291892,0.018889
0.20,0.10,0.10,0.50,0.10,0.280405,0.014995
0.20,0.10,0.10,0.40,0.20,0.254730,0.018889
0.20,0.10,0.10,0.30,0.30,0.261486,0.008453
0.20,0.10,0.10,0.20,0.40,0.243919,0.025981
0.20,0.10,0.10,0.10,0.50,0.218243,0.010768
0.20,0.10,0.10,0.00,0.60,0.201351,0.011536
0.20,0.10,0.00,0.70,0.00,0.000000,0.000000
0.20,0.10,0.00,0.60,0.10,0.020946,0.020946
0.20,0.10,0.00,0.50,0.20,0.093243,0.038261
0.20,0.10,0.00,0.40,0.30,0.078378,0.025804
0.20,0.10,0.00,0.30,0.40,0.095946,0.031268
0.20,0.10,0.00,0.20,0.50,0.139189,0.007807
0.20,0.10,0.00,0.10,0.60,0.165541,0.013386
0.20,0.10,0.00,0.00,0.70,0.176351,0.010811
0.20,0.00,0.80,0.00,0.00,0.900676,0.011829
0.20,0.00,0.70,0.10,0.00,0.803378,0.013987
0.20,0.00,0.70,0.00,0.10,0.637162,0.019129
0.20,0.00,0.60,0.20,0.00,0.718243,0.016293
0.20,0.00,0.60,0.10,0.10,0.629054,0.019331
0.20,0.00,0.60,0.00,0.20,0.564865,0.024604
0.20,0.00,0.50,0.30,0.00,0.647297,0.010056
0.20,0.00,0.50,0.20,0.10,0.512162,0.035313
0.20,0.00,0.50,0.10,0.20,0.500676,0.010651
0.20,0.00,0.50,0.00,0.30,0.499324,0.011868
0.20,0.00,0.40,0.40,0.00,0.578378,0.023195
0.20,0.00,0.40,0.30,0.10,0.521622,0.036396
0.20,0.00,0.40,0.20,0.20,0.449324,0.022461
0.20,0.00,0.40,0.10,0.30,0.462838,0.029160
