# Au_b,Cu_b,Pt_b,Au_isc,Cu_isc,Pt_isc,Au_fsc,Cu_fsc,Pt_fsc,Sd
0.050,0.500,0.450,0.045,0.508,0.447,0.082,0.008,0.910,0.198
0.050,0.450,0.500,0.045,0.453,0.502,0.085,0.014,0.901,0.250
0.050,0.400,0.550,0.045,0.403,0.552,0.068,0.008,0.924,0.251
0.050,0.350,0.600,0.045,0.346,0.609,0.065,0.010,0.925,0.331
0.050,0.300,0.650,0.045,0.292,0.663,0.061,0.014,0.925,0.364
0.050,0.250,0.700,0.045,0.243,0.712,0.053,0.022,0.925,0.423
0.050,0.200,0.750,0.045,0.188,0.767,0.053,0.026,0.921,0.518
0.050,0.150,0.800,0.045,0.144,0.811,0.052,0.026,0.922,0.600
0.050,0.100,0.850,0.045,0.099,0.856,0.044,0.031,0.924,0.708
0.050,0.050,0.900,0.045,0.053,0.902,0.043,0.022,0.935,0.837
0.050,0.000,0.950,0.045,0.000,0.955,0.045,0.000,0.955,1.000
0.000,1.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000
0.000,0.950,0.050,0.000,0.950,0.050,0.000,0.000,0.000,0.000
0.000,0.900,0.100,0.000,0.895,0.105,0.000,0.000,1.000,0.005
0.000,0.850,0.150,0.000,0.849,0.150,0.000,0.000,1.000,0.018
0.000,0.800,0.200,0.000,0.796,0.204,0.000,0.000,1.000,0.046
0.000,0.750,0.250,0.000,0.751,0.249,0.000,0.000,1.000,0.076
0.000,0.700,0.300,0.000,0.703,0.297,0.000,0.006,0.994,0.111
0.000,0.650,0.350,0.000,0.656,0.344,0.000,0.005,0.995,0.142
0.000,0.600,0.400,0.000,0.607,0.393,0.000,0.011,0.989,0.163
0.000,0.550,0.450,0.000,0.553,0.447,0.000,0.020,0.980,0.181
0.000,0.500,0.500,0.000,0.498,0.502,0.000,0.017,0.983,0.214
0.000,0.450,0.550,0.000,0.448,0.552,0.000,0.018,0.982,0.242
0.000,0.400,0.600,0.000,0.390,0.610,0.000,0.021,0.979,0.292
0.000,0.350,0.650,0.000,0.337,0.663,0.000,0.028,0.972,0.307
0.000,0.300,0.700,0.000,0.288,0.712,0.000,0.030,0.970,0.381
0.000,0.250,0.750,0.000,0.233,0.767,0.000,0.039,0.961,0.458
0.000,0.200,0.800,0.000,0.189,0.811,0.000,0.041,0.958,0.536
0.000,0.150,0.850,0.000,0.144,0.856,0.000,0.053,0.947,0.623
0.000,0.100,0.900,0.000,0.098,0.902,0.000,0.051,0.949,0.751
0.000,0.050,0.950,0.000,0.045,0.955,0.000,0.035,0.965,0.909
0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,1.000
