# Au_b,Cu_b,Pt_b,Au_isc,Cu_isc,Pt_isc,Au_fsc,Cu_fsc,Pt_fsc,Sd
0.600,0.000,0.400,0.606,0.000,0.394,0.586,0.000,0.414,0.856
0.550,0.450,0.000,0.551,0.449,0.000,1.000,0.000,0.000,0.242
0.550,0.400,0.050,0.552,0.397,0.051,0.908,0.000,0.092,0.264
0.550,0.350,0.100,0.552,0.342,0.106,0.842,0.000,0.158,0.295
0.550,0.300,0.150,0.552,0.297,0.151,0.779,0.000,0.221,0.345
0.550,0.250,0.200,0.551,0.245,0.204,0.726,0.000,0.274,0.378
0.550,0.200,0.250,0.554,0.198,0.248,0.670,0.000,0.330,0.422
0.550,0.150,0.300,0.552,0.150,0.298,0.629,0.000,0.371,0.504
0.550,0.100,0.350,0.552,0.104,0.344,0.597,0.000,0.403,0.582
0.550,0.050,0.400,0.552,0.054,0.394,0.561,0.000,0.439,0.688
0.550,0.000,0.450,0.551,0.000,0.449,0.533,0.000,0.467,0.891
0.500,0.500,0.000,0.497,0.503,0.000,1.000,0.000,0.000,0.214
0.500,0.450,0.050,0.497,0.453,0.050,0.924,0.000,0.076,0.231
0.500,0.400,0.100,0.497,0.398,0.105,0.813,0.000,0.187,0.254
0.500,0.350,0.150,0.497,0.352,0.151,0.757,0.000,0.243,0.301
0.500,0.300,0.200,0.497,0.297,0.206,0.708,0.000,0.292,0.330
0.500,0.250,0.250,0.497,0.254,0.249,0.673,0.000,0.327,0.389
0.500,0.200,0.300,0.497,0.206,0.297,0.612,0.000,0.388,0.448
0.500,0.150,0.350,0.497,0.159,0.344,0.571,0.000,0.429,0.507
0.500,0.100,0.400,0.497,0.109,0.394,0.539,0.000,0.461,0.592
0.500,0.050,0.450,0.497,0.055,0.448,0.508,0.000,0.492,0.706
0.500,0.000,0.500,0.497,0.000,0.503,0.484,0.000,0.516,0.927
0.450,0.550,0.000,0.450,0.550,0.000,1.000,0.000,0.000,0.186
0.450,0.500,0.050,0.448,0.502,0.050,0.908,0.000,0.092,0.209
0.450,0.450,0.100,0.449,0.446,0.105,0.827,0.000,0.173,0.242
0.450,0.400,0.150,0.448,0.402,0.150,0.744,0.000,0.256,0.268
0.450,0.350,0.200,0.448,0.346,0.206,0.678,0.000,0.322,0.299
0.450,0.300,0.250,0.449,0.303,0.248,0.623,0.000,0.377,0.347
0.450,0.250,0.300,0.449,0.255,0.296,0.579,0.000,0.421,0.403
0.450,0.200,0.350,0.449,0.207,0.344,0.543,0.000,0.457,0.460
0.450,0.150,0.400,0.448,0.159,0.393,0.528,0.000,0.472,0.527
0.450,0.100,0.450,0.448,0.104,0.448,0.482,0.000,0.518,0.623
0.450,0.050,0.500,0.448,0.049,0.503,0.450,0.001,0.549,0.744
0.450,0.000,0.550,0.450,0.000,0.550,0.435,0.000,0.565,0.951
