# Pd_b,Pt_b,Ru_b,Pd_isc,Pt_isc,Ru_isc,Pd_fsc,Pt_fsc,Ru_fsc,Sd
0.250,0.200,0.550,0.233,0.216,0.552,0.532,0.418,0.050,0.184
0.250,0.150,0.600,0.233,0.158,0.609,0.585,0.296,0.119,0.164
0.250,0.100,0.650,0.233,0.104,0.663,0.614,0.264,0.122,0.117
0.250,0.050,0.700,0.233,0.055,0.712,0.726,0.170,0.104,0.087
0.250,0.000,0.750,0.233,0.000,0.767,0.789,0.000,0.211,0.059
0.200,0.800,0.000,0.189,0.811,0.000,0.189,0.811,0.000,1.000
0.200,0.750,0.050,0.189,0.760,0.050,0.198,0.802,0.000,0.775
0.200,0.700,0.100,0.189,0.705,0.105,0.207,0.793,0.000,0.658
0.200,0.650,0.150,0.189,0.660,0.150,0.228,0.772,0.000,0.544
0.200,0.600,0.200,0.189,0.607,0.204,0.222,0.778,0.000,0.470
0.200,0.550,0.250,0.189,0.562,0.249,0.254,0.745,0.002,0.422
0.200,0.500,0.300,0.189,0.514,0.297,0.263,0.732,0.005,0.377
0.200,0.450,0.350,0.189,0.466,0.345,0.302,0.681,0.017,0.330
0.200,0.400,0.400,0.189,0.418,0.393,0.315,0.650,0.035,0.285
0.200,0.350,0.450,0.189,0.363,0.447,0.353,0.604,0.043,0.261
0.200,0.300,0.500,0.189,0.309,0.502,0.383,0.540,0.077,0.221
0.200,0.250,0.550,0.189,0.259,0.552,0.385,0.511,0.104,0.214
0.200,0.200,0.600,0.189,0.201,0.610,0.416,0.409,0.175,0.184
0.200,0.150,0.650,0.189,0.148,0.663,0.427,0.384,0.189,0.140
0.200,0.100,0.700,0.189,0.099,0.712,0.538,0.239,0.223,0.102
0.200,0.050,0.750,0.189,0.043,0.767,0.599,0.144,0.257,0.074
0.200,0.000,0.800,0.189,0.000,0.811,0.709,0.000,0.291,0.052
0.150,0.850,0.000,0.144,0.856,0.000,0.144,0.856,0.000,1.000
0.150,0.800,0.050,0.144,0.806,0.051,0.150,0.850,0.000,0.775
0.150,0.750,0.100,0.144,0.751,0.105,0.158,0.842,0.000,0.658
0.150,0.700,0.150,0.144,0.706,0.150,0.172,0.828,0.000,0.544
0.150,0.650,0.200,0.144,0.652,0.204,0.177,0.823,0.000,0.473
0.150,0.600,0.250,0.144,0.607,0.249,0.190,0.810,0.001,0.420
0.150,0.550,0.300,0.144,0.559,0.297,0.200,0.794,0.005,0.364
0.150,0.500,0.350,0.144,0.512,0.345,0.224,0.751,0.025,0.337
0.150,0.450,0.400,0.144,0.463,0.393,0.257,0.710,0.033,0.297
0.150,0.400,0.450,0.144,0.409,0.447,0.261,0.670,0.069,0.274
0.150,0.350,0.500,0.144,0.354,0.502,0.266,0.635,0.099,0.223
0.150,0.300,0.550,0.144,0.304,0.552,0.292,0.580,0.128,0.208
0.150,0.250,0.600,0.144,0.246,0.610,0.312,0.503,0.185,0.193
0.150,0.200,0.650,0.144,0.193,0.663,0.327,0.411,0.262,0.155
0.150,0.150,0.700,0.144,0.144,0.712,0.357,0.332,0.312,0.132
0.150,0.100,0.750,0.144,0.089,0.767,0.382,0.212,0.405,0.108
0.150,0.050,0.800,0.144,0.045,0.811,0.456,0.133,0.411,0.059
0.150,0.000,0.850,0.144,0.000,0.856,0.538,0.000,0.462,0.021
0.100,0.900,0.000,0.098,0.902,0.000,0.098,0.902,0.000,1.000
0.100,0.850,0.050,0.098,0.852,0.050,0.103,0.897,0.000,0.775
0.100,0.800,0.100,0.098,0.797,0.105,0.108,0.892,0.000,0.658
0.100,0.750,0.150,0.098,0.752,0.150,0.121,0.879,0.000,0.545
0.100,0.700,0.200,0.098,0.698,0.204,0.123,0.877,0.000,0.479
0.100,0.650,0.250,0.098,0.653,0.249,0.133,0.866,0.001,0.413
0.100,0.600,0.300,0.098,0.606,0.297,0.134,0.860,0.006,0.365
0.100,0.550,0.350,0.098,0.558,0.344,0.146,0.823,0.030,0.340
0.100,0.500,0.400,0.098,0.509,0.393,0.161,0.793,0.047,0.302
0.100,0.450,0.450,0.098,0.455,0.447,0.150,0.742,0.108,0.277
0.100,0.400,0.500,0.098,0.400,0.502,0.178,0.685,0.138,0.253
0.100,0.350,0.550,0.098,0.350,0.552,0.172,0.627,0.200,0.239
0.100,0.300,0.600,0.098,0.293,0.610,0.183,0.558,0.259,0.207
0.100,0.250,0.650,0.098,0.239,0.663,0.196,0.463,0.341,0.173
0.100,0.200,0.700,0.098,0.190,0.712,0.198,0.355,0.448,0.145
0.100,0.150,0.750,0.098,0.135,0.767,0.187,0.306,0.508,0.142
0.100,0.100,0.800,0.098,0.091,0.811,0.228,0.214,0.559,0.098
0.100,0.050,0.850,0.098,0.046,0.856,0.256,0.104,0.640,0.060
0.100,0.000,0.900,0.098,0.000,0.902,0.292,0.000,0.709,0.003
0.050,0.950,0.000,0.045,0.955,0.000,0.045,0.955,0.000,1.000
0.050,0.900,0.050,0.045,0.905,0.050,0.047,0.953,0.000,0.776
0.050,0.850,0.100,0.045,0.849,0.105,0.049,0.951,0.000,0.658
0.050,0.800,0.150,0.045,0.805,0.150,0.058,0.942,0.000,0.546
0.050,0.750,0.200,0.045,0.751,0.204,0.060,0.940,0.000,0.474
