# Au_b,Cu_b,Pd_b,Au_isc,Cu_isc,Pd_isc,Au_fsc,Cu_fsc,Pd_fsc,Sd
0.600,0.000,0.400,0.606,0.000,0.394,0.597,0.000,0.403,0.609
0.550,0.450,0.000,0.551,0.449,0.000,1.000,0.000,0.000,0.242
0.550,0.400,0.050,0.552,0.397,0.051,0.917,0.000,0.083,0.269
0.550,0.350,0.100,0.552,0.342,0.106,0.843,0.000,0.157,0.285
0.550,0.300,0.150,0.552,0.297,0.151,0.807,0.000,0.193,0.305
0.550,0.250,0.200,0.551,0.245,0.204,0.737,0.000,0.263,0.364
0.550,0.200,0.250,0.554,0.198,0.248,0.690,0.000,0.310,0.394
0.550,0.150,0.300,0.552,0.150,0.298,0.644,0.000,0.356,0.437
0.550,0.100,0.350,0.552,0.104,0.344,0.617,0.000,0.383,0.478
0.550,0.050,0.400,0.552,0.054,0.394,0.569,0.000,0.431,0.526
0.550,0.000,0.450,0.551,0.000,0.449,0.532,0.000,0.468,0.600
0.500,0.500,0.000,0.497,0.503,0.000,1.000,0.000,0.000,0.214
0.500,0.450,0.050,0.497,0.453,0.050,0.939,0.000,0.061,0.219
0.500,0.400,0.100,0.497,0.398,0.105,0.829,0.000,0.171,0.258
0.500,0.350,0.150,0.497,0.352,0.151,0.793,0.000,0.207,0.278
0.500,0.300,0.200,0.497,0.297,0.206,0.718,0.000,0.282,0.307
0.500,0.250,0.250,0.497,0.254,0.249,0.676,0.000,0.324,0.329
0.500,0.200,0.300,0.497,0.206,0.297,0.640,0.000,0.360,0.380
0.500,0.150,0.350,0.497,0.159,0.344,0.573,0.000,0.427,0.435
0.500,0.100,0.400,0.497,0.109,0.394,0.542,0.000,0.458,0.477
0.500,0.050,0.450,0.497,0.055,0.448,0.502,0.000,0.498,0.508
0.500,0.000,0.500,0.497,0.000,0.503,0.487,0.000,0.513,0.564
0.450,0.550,0.000,0.450,0.550,0.000,1.000,0.000,0.000,0.186
0.450,0.500,0.050,0.448,0.502,0.050,0.897,0.000,0.103,0.206
0.450,0.450,0.100,0.449,0.446,0.105,0.815,0.000,0.185,0.226
0.450,0.400,0.150,0.448,0.402,0.150,0.795,0.000,0.205,0.246
0.450,0.350,0.200,0.448,0.346,0.206,0.713,0.000,0.287,0.270
0.450,0.300,0.250,0.449,0.303,0.248,0.654,0.000,0.346,0.307
0.450,0.250,0.300,0.449,0.255,0.296,0.601,0.000,0.399,0.337
0.450,0.200,0.350,0.449,0.207,0.344,0.560,0.000,0.440,0.377
0.450,0.150,0.400,0.448,0.159,0.393,0.514,0.000,0.486,0.427
0.450,0.100,0.450,0.448,0.104,0.448,0.493,0.000,0.507,0.456
0.450,0.050,0.500,0.448,0.049,0.503,0.464,0.000,0.536,0.486
0.450,0.000,0.550,0.450,0.000,0.550,0.434,0.000,0.566,0.547
