# Pd_b,Pt_b,Ru_b,Pd_isc,Pt_isc,Ru_isc,Pd_fsc,Pt_fsc,Ru_fsc,Sd
0.050,0.850,0.100,0.044,0.851,0.105,0.050,0.950,0.000,0.658
0.050,0.800,0.150,0.044,0.804,0.152,0.058,0.942,0.000,0.546
0.050,0.750,0.200,0.044,0.751,0.205,0.059,0.941,0.000,0.474
0.050,0.700,0.250,0.045,0.707,0.248,0.068,0.926,0.006,0.410
0.050,0.650,0.300,0.046,0.658,0.296,0.071,0.906,0.023,0.385
0.050,0.600,0.350,0.044,0.612,0.344,0.071,0.887,0.042,0.330
0.050,0.550,0.400,0.044,0.562,0.394,0.085,0.858,0.057,0.310
0.050,0.500,0.450,0.045,0.506,0.449,0.083,0.811,0.106,0.289
0.050,0.450,0.500,0.045,0.452,0.503,0.081,0.779,0.140,0.253
0.050,0.400,0.550,0.044,0.404,0.552,0.081,0.700,0.219,0.233
0.050,0.350,0.600,0.044,0.348,0.608,0.088,0.583,0.329,0.211
0.050,0.300,0.650,0.045,0.292,0.663,0.064,0.467,0.469,0.188
0.050,0.250,0.700,0.045,0.244,0.711,0.099,0.388,0.513,0.175
0.050,0.200,0.750,0.046,0.187,0.767,0.078,0.331,0.591,0.165
0.050,0.150,0.800,0.045,0.143,0.812,0.074,0.194,0.732,0.145
0.050,0.100,0.850,0.044,0.100,0.856,0.078,0.194,0.728,0.114
0.050,0.050,0.900,0.045,0.054,0.901,0.127,0.102,0.771,0.053
0.050,0.000,0.950,0.044,0.000,0.956,0.000,0.000,0.000,0.000
0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000,1.000
0.000,0.950,0.050,0.000,0.951,0.049,0.000,1.000,0.000,0.776
0.000,0.900,0.100,0.000,0.895,0.105,0.000,1.000,0.000,0.658
0.000,0.850,0.150,0.000,0.850,0.150,0.000,1.000,0.000,0.545
0.000,0.800,0.200,0.000,0.794,0.206,0.000,1.000,0.000,0.472
0.000,0.750,0.250,0.000,0.752,0.248,0.000,0.994,0.006,0.410
0.000,0.700,0.300,0.000,0.705,0.295,0.000,0.968,0.032,0.383
0.000,0.650,0.350,0.000,0.657,0.343,0.000,0.963,0.037,0.331
0.000,0.600,0.400,0.000,0.606,0.394,0.000,0.933,0.067,0.324
0.000,0.550,0.450,0.000,0.551,0.449,0.000,0.888,0.112,0.295
0.000,0.500,0.500,0.000,0.497,0.503,0.000,0.840,0.160,0.268
0.000,0.450,0.550,0.000,0.450,0.550,0.000,0.748,0.252,0.255
0.000,0.400,0.600,0.000,0.392,0.608,0.000,0.635,0.365,0.229
0.000,0.350,0.650,0.000,0.337,0.663,0.000,0.565,0.435,0.191
0.000,0.300,0.700,0.000,0.288,0.712,0.000,0.455,0.545,0.176
0.000,0.250,0.750,0.000,0.233,0.767,0.000,0.403,0.597,0.168
0.000,0.200,0.800,0.000,0.189,0.811,0.000,0.291,0.709,0.160
0.000,0.150,0.850,0.000,0.146,0.854,0.000,0.191,0.809,0.123
0.000,0.100,0.900,0.000,0.098,0.902,0.000,0.154,0.846,0.085
0.000,0.050,0.950,0.000,0.044,0.956,0.000,0.222,0.778,0.020
0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000
