# Au_b,Cu_b,Pd_b,Au_isc,Cu_isc,Pd_isc,Au_fsc,Cu_fsc,Pd_fsc,Sd
0.350,0.150,0.500,0.337,0.161,0.502,0.398,0.000,0.603,0.348
0.350,0.100,0.550,0.337,0.111,0.552,0.364,0.000,0.637,0.414
0.350,0.050,0.600,0.337,0.053,0.610,0.336,0.000,0.664,0.452
0.350,0.000,0.650,0.337,0.000,0.663,0.314,0.000,0.686,0.524
0.300,0.700,0.000,0.288,0.712,0.000,1.000,0.000,0.000,0.126
0.300,0.650,0.050,0.288,0.662,0.050,0.899,0.000,0.101,0.138
0.300,0.600,0.100,0.288,0.607,0.105,0.789,0.000,0.211,0.141
0.300,0.550,0.150,0.288,0.562,0.150,0.718,0.000,0.282,0.161
0.300,0.500,0.200,0.288,0.508,0.204,0.641,0.000,0.359,0.171
0.300,0.450,0.250,0.288,0.463,0.249,0.568,0.000,0.432,0.185
0.300,0.400,0.300,0.288,0.415,0.297,0.514,0.000,0.486,0.191
0.300,0.350,0.350,0.288,0.368,0.345,0.493,0.000,0.507,0.232
0.300,0.300,0.400,0.288,0.319,0.393,0.430,0.000,0.570,0.251
0.300,0.250,0.450,0.288,0.265,0.447,0.388,0.000,0.612,0.272
0.300,0.200,0.500,0.288,0.210,0.502,0.379,0.000,0.621,0.304
0.300,0.150,0.550,0.288,0.160,0.552,0.347,0.000,0.653,0.342
0.300,0.100,0.600,0.288,0.102,0.610,0.304,0.000,0.696,0.398
0.300,0.050,0.650,0.288,0.049,0.663,0.296,0.000,0.704,0.422
0.300,0.000,0.700,0.288,0.000,0.712,0.264,0.000,0.736,0.504
0.250,0.750,0.000,0.233,0.767,0.000,1.000,0.000,0.000,0.112
0.250,0.700,0.050,0.233,0.717,0.050,0.880,0.000,0.120,0.120
0.250,0.650,0.100,0.233,0.662,0.105,0.722,0.000,0.278,0.118
0.250,0.600,0.150,0.233,0.617,0.150,0.714,0.000,0.286,0.135
0.250,0.550,0.200,0.232,0.564,0.204,0.624,0.000,0.376,0.153
0.250,0.500,0.250,0.233,0.518,0.249,0.541,0.000,0.459,0.152
0.250,0.450,0.300,0.233,0.471,0.297,0.480,0.000,0.519,0.174
0.250,0.400,0.350,0.233,0.423,0.344,0.461,0.000,0.539,0.191
0.250,0.350,0.400,0.233,0.374,0.393,0.424,0.000,0.576,0.200
0.250,0.300,0.450,0.233,0.320,0.447,0.371,0.000,0.629,0.221
0.250,0.250,0.500,0.232,0.266,0.502,0.337,0.000,0.663,0.237
0.250,0.200,0.550,0.233,0.216,0.552,0.314,0.000,0.686,0.279
0.250,0.150,0.600,0.233,0.158,0.609,0.289,0.000,0.711,0.280
0.250,0.100,0.650,0.233,0.104,0.663,0.271,0.000,0.729,0.325
0.250,0.050,0.700,0.233,0.055,0.712,0.260,0.000,0.740,0.386
0.250,0.000,0.750,0.233,0.000,0.767,0.227,0.000,0.773,0.464
0.200,0.800,0.000,0.189,0.811,0.000,1.000,0.000,0.000,0.083
0.200,0.750,0.050,0.189,0.760,0.050,0.872,0.000,0.128,0.083
0.200,0.700,0.100,0.189,0.705,0.105,0.741,0.000,0.259,0.104
0.200,0.650,0.150,0.189,0.660,0.150,0.655,0.000,0.345,0.102
0.200,0.600,0.200,0.189,0.607,0.204,0.586,0.000,0.414,0.115
0.200,0.550,0.250,0.189,0.562,0.249,0.492,0.000,0.508,0.130
0.200,0.500,0.300,0.189,0.514,0.297,0.432,0.000,0.568,0.150
0.200,0.450,0.350,0.189,0.466,0.345,0.408,0.000,0.592,0.153
0.200,0.400,0.400,0.189,0.418,0.393,0.370,0.000,0.630,0.165
0.200,0.350,0.450,0.189,0.363,0.447,0.304,0.000,0.696,0.172
0.200,0.300,0.500,0.189,0.309,0.502,0.317,0.000,0.683,0.219
0.200,0.250,0.550,0.189,0.259,0.552,0.276,0.000,0.724,0.216
0.200,0.200,0.600,0.189,0.201,0.610,0.263,0.000,0.737,0.244
