# Ag,Au,Cu,Ir,Pd,Pt,Rh,Ru,Sd
0.079786,0.231993,0.006806,0.035947,0.276197,0.061648,0.225382,0.082240,0.747867
0.024730,0.060475,0.179621,0.212804,0.206468,0.098776,0.166147,0.050978,0.709077
0.128186,0.391945,0.005685,0.037391,0.090903,0.011602,0.079337,0.254950,0.725369
0.106130,0.224807,0.205862,0.086082,0.065332,0.095620,0.148658,0.067508,0.613654
0.149734,0.098219,0.132437,0.104628,0.070643,0.227536,0.183190,0.033613,0.735454
0.201580,0.113138,0.207635,0.185654,0.098696,0.005215,0.062363,0.125719,0.311094
0.165844,0.067515,0.036483,0.218584,0.257715,0.137625,0.044945,0.071290,0.830101
0.004672,0.232271,0.029914,0.146460,0.069622,0.140785,0.165488,0.210790,0.809154
0.051719,0.002755,0.034297,0.225502,0.218955,0.149683,0.150461,0.166627,0.801396
0.052164,0.271993,0.124564,0.113965,0.154353,0.013970,0.049461,0.219529,0.671063
0.027774,0.202323,0.082301,0.130587,0.096840,0.119308,0.241199,0.099667,0.647789
0.145833,0.122570,0.170877,0.241208,0.188617,0.055341,0.008029,0.067526,0.657874
0.196616,0.016991,0.164001,0.197199,0.110435,0.254712,0.035220,0.024826,0.842514
0.148412,0.100986,0.140303,0.088622,0.050219,0.166941,0.162929,0.141586,0.577967
0.072277,0.156755,0.095868,0.024323,0.243623,0.036337,0.252366,0.118451,0.491854
0.034675,0.101498,0.163503,0.137146,0.151069,0.123390,0.129664,0.159055,0.626843
0.054724,0.107276,0.048487,0.216486,0.206927,0.008642,0.154654,0.202804,0.657099
0.039357,0.123784,0.199532,0.007399,0.152004,0.064808,0.201473,0.211644,0.437548
0.192457,0.096653,0.175699,0.172133,0.065038,0.168947,0.007543,0.121530,0.584174
0.089529,0.046930,0.029953,0.271024,0.132293,0.282109,0.025439,0.122724,0.901474
0.133734,0.196012,0.079015,0.155152,0.219624,0.152666,0.057748,0.006049,0.830877
0.161683,0.003952,0.162539,0.098288,0.174499,0.148431,0.185438,0.065170,0.491854
0.144200,0.075547,0.090197,0.117945,0.164216,0.184968,0.144404,0.078523,0.754073
0.157225,0.275221,0.089097,0.041222,0.132323,0.107180,0.110564,0.087168,0.721490
0.011353,0.004821,0.266401,0.115376,0.103658,0.183309,0.058866,0.256216,0.583398
0.180146,0.020483,0.095665,0.201400,0.216432,0.107079,0.140528,0.038266,0.643910
0.228230,0.053346,0.217077,0.149590,0.139940,0.118054,0.053115,0.040648,0.521334
0.050395,0.042613,0.178186,0.080026,0.013221,0.221503,0.202003,0.212052,0.575640
0.236125,0.041271,0.094042,0.179956,0.165189,0.036525,0.193625,0.053267,0.387122
