area,Ru,Pd,Ag
1.220000000000000000e+02,2.965921860135966526e+01,3.382544335462127805e+01,3.651533804401906025e+01
1.230000000000000000e+02,3.077099566228273630e+01,3.465709705885897307e+01,3.457190727885829773e+01
1.240000000000000000e+02,3.188276596183196432e+01,3.548874570531862815e+01,3.262848833284940042e+01
1.250000000000000000e+02,3.299452950006904928e+01,3.632038929404640015e+01,3.068508120588455768e+01
1.260000000000000000e+02,3.410628627705564497e+01,3.715202782508841750e+01,2.874168589785593397e+01
1.270000000000000000e+02,3.521803629285345494e+01,3.798366129849080863e+01,2.679830240865573288e+01
1.280000000000000000e+02,3.632977954752414007e+01,3.881528971429973041e+01,2.485493073817612597e+01
1.290000000000000000e+02,3.744151604112938259e+01,3.964691307256130415e+01,2.291157088630930261e+01
1.300000000000000000e+02,3.855324577373086470e+01,4.047853137332168671e+01,2.096822285294745569e+01
1.310000000000000000e+02,3.966496874539024731e+01,4.131014461662697812e+01,1.902488663798276747e+01
1.320000000000000000e+02,4.077668495616921973e+01,4.214175280252334233e+01,1.708156224130743794e+01
1.330000000000000000e+02,4.188839440612944998e+01,4.297335593105690066e+01,1.513824966281365292e+01
1.340000000000000000e+02,4.300009709533259894e+01,4.380495400227379577e+01,1.319494890239360529e+01
1.350000000000000000e+02,4.411179302384036305e+01,4.463654701622015608e+01,1.125165995993948975e+01
1.360000000000000000e+02,4.522348219171438899e+01,4.546813497294211004e+01,9.308382835343502748e+00
1.370000000000000000e+02,2.028255867534160473e+01,3.190836406387344582e+01,4.780907726078494591e+01
1.380000000000000000e+02,2.139438077122780157e+01,3.274003595673791978e+01,4.586558327203428576e+01
1.390000000000000000e+02,2.250619610536579884e+01,3.357170279163857174e+01,4.392210110299562587e+01
1.400000000000000000e+02,2.361800467781727875e+01,3.440336456862156922e+01,4.197863075356116269e+01
1.410000000000000000e+02,2.472980648864391995e+01,3.523502128773302644e+01,4.003517222362305716e+01
1.420000000000000000e+02,2.584160153790741177e+01,3.606667294901908605e+01,3.809172551307349153e+01
1.430000000000000000e+02,2.695338982566943997e+01,3.689831955252591911e+01,3.614829062180465513e+01
1.440000000000000000e+02,2.806517135199166901e+01,3.772996109829962563e+01,3.420486754970870891e+01
1.450000000000000000e+02,2.917694611693579887e+01,3.856159758638636248e+01,3.226145629667784931e+01
1.460000000000000000e+02,3.028871412056348689e+01,3.939322901683226519e+01,3.031805686260424793e+01
1.470000000000000000e+02,3.140047536293642949e+01,4.022485538968346219e+01,2.837466924738009055e+01
1.480000000000000000e+02,3.251222984411631245e+01,4.105647670498611035e+01,2.643129345089757365e+01
1.490000000000000000e+02,3.362397756416478956e+01,4.188809296278633099e+01,2.448792947304887235e+01
1.500000000000000000e+02,3.473571852314355368e+01,4.271970416313027386e+01,2.254457731372618667e+01
1.510000000000000000e+02,3.584745272111426573e+01,4.355131030606404607e+01,2.060123697282168465e+01
1.520000000000000000e+02,3.695918015813861501e+01,4.438291139163379739e+01,1.865790845022757694e+01
1.530000000000000000e+02,3.807090083427826954e+01,4.521450741988567756e+01,1.671459174583604224e+01
1.540000000000000000e+02,3.918261474959490442e+01,4.604609839086580081e+01,1.477128685953928233e+01
1.550000000000000000e+02,4.029432190415020187e+01,4.687768430462031688e+01,1.282799379122949190e+01
1.560000000000000000e+02,4.140602229800581568e+01,4.770926516119532579e+01,1.088471254079885675e+01
1.570000000000000000e+02,4.251771593122342807e+01,4.854084096063699150e+01,8.941443108139583984e+00
1.580000000000000000e+02,1.757672142178105190e+01,3.498129241518270760e+01,4.744198616303624050e+01
1.590000000000000000e+02,1.868854798300614561e+01,3.581295214918236525e+01,4.549849986781148914e+01
1.600000000000000000e+02,1.980036778247876583e+01,3.664460682530928182e+01,4.355502539221195946e+01
1.610000000000000000e+02,2.091218082026059122e+01,3.747625644360957864e+01,4.161156273612982659e+01
1.620000000000000000e+02,2.202398709641331465e+01,3.830790100412941257e+01,3.966811189945727278e+01
1.630000000000000000e+02,2.313578661099861122e+01,3.913954050691491915e+01,3.772467288208647318e+01
1.640000000000000000e+02,2.424757936407816317e+01,3.997117495201223392e+01,3.578124568390961002e+01
