# Ag_i,Pd_i,Ru_i,Ag_f,Pd_f,Ru_f
0.446563,0.274258,0.279179,0.597070,0.402930,0.000000
0.427128,0.282575,0.290297,0.566116,0.433884,0.000000
0.407693,0.290892,0.301415,0.609442,0.390558,0.000000
0.388258,0.299209,0.312533,0.555118,0.444882,0.000000
0.368824,0.307525,0.323651,0.585366,0.414634,0.000000
0.349390,0.315842,0.334768,0.512931,0.487069,0.000000
0.329955,0.324159,0.345886,0.493827,0.502058,0.004115
0.310521,0.332475,0.357004,0.476988,0.510460,0.012552
0.291087,0.340792,0.368121,0.491803,0.508197,0.000000
0.271653,0.349108,0.379239,0.402344,0.597656,0.000000
0.252219,0.357425,0.390356,0.377193,0.618421,0.004386
0.232786,0.365741,0.401473,0.334928,0.660287,0.004785
0.213352,0.374057,0.412591,0.385787,0.614213,0.000000
0.193919,0.382373,0.423708,0.319797,0.675127,0.005076
0.174485,0.390690,0.434825,0.306931,0.683168,0.009901
0.155052,0.399006,0.445942,0.227979,0.746114,0.025907
0.135619,0.407322,0.457059,0.263441,0.720430,0.016129
0.116186,0.415638,0.468176,0.200980,0.754902,0.044118
0.096753,0.423954,0.479293,0.147727,0.818182,0.034091
0.481762,0.288354,0.229884,0.619247,0.380753,0.000000
0.462327,0.296671,0.241002,0.629213,0.370787,0.000000
0.442892,0.304988,0.252120,0.622150,0.377850,0.000000
0.423457,0.313305,0.263238,0.567669,0.428572,0.003759
0.404022,0.321621,0.274357,0.565891,0.434109,0.000000
0.384588,0.329938,0.285474,0.480144,0.519856,0.000000
0.365153,0.338255,0.296592,0.528926,0.471074,0.000000
0.345719,0.346571,0.307710,0.516393,0.483607,0.000000
0.326285,0.354887,0.318828,0.495833,0.504167,0.000000
0.306851,0.363204,0.329945,0.490775,0.505535,0.003690
0.287417,0.371520,0.341063,0.431818,0.563636,0.004546
0.267983,0.379837,0.352180,0.409692,0.590308,0.000000
0.248549,0.388153,0.363298,0.356784,0.638191,0.005025
0.229116,0.396469,0.374415,0.407895,0.587719,0.004386
0.209682,0.404785,0.385533,0.322115,0.673077,0.004808
0.190249,0.413101,0.396650,0.293578,0.701835,0.004587
0.170816,0.421417,0.407767,0.239234,0.746412,0.014354
0.151382,0.429734,0.418884,0.294118,0.688235,0.017647
0.131949,0.438050,0.430001,0.262376,0.722772,0.014852
0.112517,0.446365,0.441118,0.202128,0.776596,0.021276
0.093084,0.454681,0.452235,0.182692,0.807692,0.009616
0.478091,0.319084,0.202825,0.603448,0.396552,0.000000
0.458656,0.327400,0.213944,0.548951,0.451049,0.000000
0.439221,0.335717,0.225062,0.573477,0.426523,0.000000
0.419786,0.344034,0.236180,0.519231,0.480769,0.000000
0.400352,0.352350,0.247298,0.546512,0.453488,0.000000
0.380917,0.360667,0.258416,0.528226,0.471774,0.000000
0.361483,0.368983,0.269534,0.549488,0.450512,0.000000
0.342049,0.377299,0.280652,0.486056,0.513944,0.000000
0.322615,0.385616,0.291769,0.421875,0.578125,0.000000
