# Ag_i,Pt_i,Ru_i,Ag_f,Pt_f,Ru_f
0.228020,0.135162,0.636818,0.513699,0.321918,0.164383
0.228466,0.102063,0.669471,0.572414,0.275862,0.151724
0.228912,0.068962,0.702126,0.568421,0.273684,0.157895
0.229359,0.035859,0.734782,0.760000,0.120000,0.120000
0.229805,0.002754,0.767441,0.958333,0.013889,0.027778
0.238963,0.653964,0.107073,0.294118,0.703208,0.002674
0.239409,0.620894,0.139697,0.302778,0.697222,0.000000
0.239855,0.587822,0.172323,0.245098,0.751634,0.003268
0.240301,0.554749,0.204950,0.301242,0.686336,0.012422
0.240747,0.521673,0.237580,0.307692,0.688963,0.003345
0.241194,0.488595,0.270211,0.323129,0.666667,0.010204
0.241640,0.455516,0.302844,0.318386,0.663677,0.017937
0.242086,0.422435,0.335479,0.335907,0.660232,0.003861
0.242532,0.389353,0.368115,0.393665,0.597285,0.009050
0.242979,0.356268,0.400753,0.392857,0.583333,0.023810
0.243425,0.323182,0.433393,0.457778,0.497778,0.044444
0.243871,0.290094,0.466035,0.448276,0.472906,0.078818
0.244318,0.257004,0.498678,0.479381,0.443299,0.077320
0.244764,0.223912,0.531324,0.426035,0.479290,0.094675
0.245211,0.190818,0.563971,0.528662,0.394905,0.076433
0.245657,0.157723,0.596620,0.514286,0.371428,0.114286
0.246104,0.124626,0.629270,0.531469,0.377622,0.090909
0.246550,0.091527,0.661923,0.609375,0.250000,0.140625
0.246997,0.058426,0.694577,0.694444,0.231482,0.074074
0.247443,0.025324,0.727233,0.794118,0.049019,0.156863
0.245976,0.000000,0.754024,0.974026,0.000000,0.025974
0.257038,0.643426,0.099536,0.281654,0.718346,0.000000
0.257484,0.610356,0.132160,0.280347,0.719653,0.000000
0.257931,0.577284,0.164785,0.380000,0.620000,0.000000
0.258378,0.544210,0.197412,0.302251,0.694534,0.003215
0.258825,0.511135,0.230040,0.352751,0.647249,0.000000
0.259271,0.478058,0.262671,0.368421,0.615132,0.016447
0.259718,0.444979,0.295303,0.355805,0.636704,0.007491
0.260165,0.411898,0.327937,0.348837,0.618605,0.032558
0.260611,0.378816,0.360573,0.396476,0.581498,0.022026
0.261058,0.345731,0.393211,0.417021,0.531915,0.051064
0.261505,0.312645,0.425850,0.493507,0.480519,0.025974
0.261952,0.279557,0.458491,0.417526,0.551546,0.030928
0.262399,0.246467,0.491134,0.507614,0.467005,0.025381
0.262846,0.213376,0.523778,0.512195,0.426829,0.060976
0.263293,0.180283,0.556424,0.513889,0.416667,0.069444
0.263740,0.147187,0.589073,0.539474,0.401316,0.059210
0.264187,0.114090,0.621723,0.612403,0.279070,0.108527
0.264634,0.080992,0.654374,0.651163,0.232558,0.116279
0.265081,0.047891,0.687028,0.764045,0.134831,0.101124
0.265528,0.014789,0.719683,0.956044,0.032967,0.010989
0.261191,0.000000,0.738809,1.000000,0.000000,0.000000
0.275112,0.632888,0.092000,0.323308,0.676692,0.000000
0.275560,0.599818,0.124622,0.290237,0.709763,0.000000
0.276007,0.566746,0.157247,0.335051,0.659794,0.005155
0.276454,0.533673,0.189873,0.377484,0.619205,0.003311
0.276901,0.500598,0.222501,0.366667,0.630000,0.003333
0.277348,0.467521,0.255131,0.281787,0.711340,0.006873
0.277795,0.434442,0.287763,0.361345,0.638655,0.000000
0.278243,0.401361,0.320396,0.348837,0.624031,0.027132
0.278690,0.368279,0.353031,0.412451,0.583658,0.003891
0.279137,0.335195,0.385668,0.415584,0.562771,0.021645
0.279585,0.302109,0.418306,0.451327,0.530974,0.017699
0.280032,0.269021,0.450947,0.497326,0.449198,0.053476
0.280479,0.235932,0.483589,0.509524,0.428571,0.061905
0.280927,0.202840,0.516233,0.564706,0.394118,0.041176
0.281374,0.169747,0.548879,0.614907,0.347826,0.037267
0.281822,0.136652,0.581526,0.634146,0.317073,0.048781
0.282269,0.103556,0.614175,0.624114,0.297872,0.078014
0.282717,0.070457,0.646826,0.776699,0.155340,0.067961
0.283164,0.037357,0.679479,0.895652,0.078261,0.026087
0.283612,0.004254,0.712134,0.939759,0.036145,0.024096
0.276094,0.000000,0.723906,0.989796,0.000000,0.010204
0.293634,0.589280,0.117086,0.350575,0.649425,0.000000
0.294082,0.556209,0.149709,0.384384,0.615616,0.000000
0.294529,0.523136,0.182335,0.353698,0.646302,0.000000
0.294977,0.490061,0.214962,0.326241,0.666667,0.007092
0.295425,0.456984,0.247591,0.377049,0.622951,0.000000
