area,Ag,Pt,Ru
6.000000000000000000e+01,1.322734534888774505e+01,5.849060871596254430e+01,2.828204593514971421e+01
6.100000000000000000e+01,1.327167955832895885e+01,5.518275201925915496e+01,3.154556842241187908e+01
6.200000000000000000e+01,1.331601617022724326e+01,5.187471607082624558e+01,3.480926775894651115e+01
6.300000000000000000e+01,1.336035518477789097e+01,4.856650085609300760e+01,3.807314395912911920e+01
6.400000000000000000e+01,1.340469660217620529e+01,4.525810636048705504e+01,4.133719703733672901e+01
6.500000000000000000e+01,1.344904042261752863e+01,4.194953256943448139e+01,4.460142700794801129e+01
6.600000000000000000e+01,1.349338664629719453e+01,3.864077946835971744e+01,4.786583388534307915e+01
6.700000000000000000e+01,1.353773527341059157e+01,3.533184704268568055e+01,5.113041768390372965e+01
6.800000000000000000e+01,1.358208630415310658e+01,3.202273527783368934e+01,5.439517841801320230e+01
6.900000000000000000e+01,1.362643973872015302e+01,2.871344415922346016e+01,5.766011610205637794e+01
7.000000000000000000e+01,1.367079557730717099e+01,2.540397367227315684e+01,6.092523075041967928e+01
7.100000000000000000e+01,1.371515382010961837e+01,2.209432380239934446e+01,6.419052237749103540e+01
7.200000000000000000e+01,1.375951446732296723e+01,1.878449453501701782e+01,6.745599099766000961e+01
7.300000000000000000e+01,1.380387751914272698e+01,1.547448585553958189e+01,7.072163662531768580e+01
7.400000000000000000e+01,1.384824297576440699e+01,1.216429774937886954e+01,7.398745927485671814e+01
7.500000000000000000e+01,1.389261083738356284e+01,8.853930201945122036e+00,7.725345896067132401e+01
7.600000000000000000e+01,1.490224210232347701e+01,6.735908077721978771e+01,1.773867712045673528e+01
7.700000000000000000e+01,1.494661743624064698e+01,6.405178151659320918e+01,2.100160104716615095e+01
7.800000000000000000e+01,1.499099517461282538e+01,6.074430305162960053e+01,2.426470177375757231e+01
7.900000000000000000e+01,1.503537531763546120e+01,5.743664536776341834e+01,2.752797931460111514e+01
8.000000000000000000e+01,1.507975786550398745e+01,5.412880845042757016e+01,3.079143368406844772e+01
8.100000000000000000e+01,1.512414281841389041e+01,5.082079228505331514e+01,3.405506489653277669e+01
8.200000000000000000e+01,1.516853017656066882e+01,4.751259685707043445e+01,3.731887296636890738e+01
8.300000000000000000e+01,1.521291994013982674e+01,4.420422215190702531e+01,4.058285790795315506e+01
8.400000000000000000e+01,1.525731210934690729e+01,4.089566815498966434e+01,4.384701973566342303e+01
8.500000000000000000e+01,1.530170668437746961e+01,3.758693485174335791e+01,4.711135846387917070e+01
8.600000000000000000e+01,1.534610366542709414e+01,3.427802222759149942e+01,5.037587410698139934e+01
8.700000000000000000e+01,1.539050305269137908e+01,3.096893026795591197e+01,5.364056667935270895e+01
8.800000000000000000e+01,1.543490484636594928e+01,2.765965895825684484e+01,5.690543619537719877e+01
8.900000000000000000e+01,1.547930904664644736e+01,2.435020828391297343e+01,6.017048266944058099e+01
9.000000000000000000e+01,1.552371565372853901e+01,2.104057823034136732e+01,6.343570611593008834e+01
9.100000000000000000e+01,1.556812466780790949e+01,1.773076878295754000e+01,6.670110654923455229e+01
9.200000000000000000e+01,1.561253608908026713e+01,1.442077992717541157e+01,6.996668398374433195e+01
9.300000000000000000e+01,1.565694991774133626e+01,1.111061164840732651e+01,7.323243843385134255e+01
9.400000000000000000e+01,1.570136615398686786e+01,7.800263932064038563e+00,7.649836991394909091e+01
9.500000000000000000e+01,1.666565298843550735e+01,6.961218921849581420e+01,1.372215779306867844e+01
9.600000000000000000e+01,1.671007424334202085e+01,6.630508891250713077e+01,1.698483684415084838e+01
9.700000000000000000e+01,1.675449790509138026e+01,6.299780942043437904e+01,2.024769267447422294e+01
9.800000000000000000e+01,1.679892397387920866e+01,5.969035072771413297e+01,2.351072529840664416e+01
9.900000000000000000e+01,1.684335244990113978e+01,5.638271281978138916e+01,2.677393473031747817e+01
1.000000000000000000e+02,1.688778333335282866e+01,5.307489568206948860e+01,3.003732098457768629e+01
1.010000000000000000e+02,1.693221662442996234e+01,4.976689930001027307e+01,3.330088407555976460e+01
1.020000000000000000e+02,1.697665232332824559e+01,4.645872365903398560e+01,3.656462401763776171e+01
1.030000000000000000e+02,1.702109043024339741e+01,4.315036874456927762e+01,3.982854082518731076e+01
1.040000000000000000e+02,1.706553094537116166e+01,3.984183454204323027e+01,4.309263451258561162e+01
1.050000000000000000e+02,1.710997386890731065e+01,3.653312103688134727e+01,4.635690509421134209e+01
1.060000000000000000e+02,1.715441920104762374e+01,3.322422821450753361e+01,4.962135258444483554e+01
1.070000000000000000e+02,1.719886694198791588e+01,2.991515606034414887e+01,5.288597699766793880e+01
1.080000000000000000e+02,1.724331709192400908e+01,2.660590455981194324e+01,5.615077834826405478e+01
1.090000000000000000e+02,1.728776965105176089e+01,2.329647369833009307e+01,5.941575665061814249e+01
1.100000000000000000e+02,1.733222461956704308e+01,1.998686346131620795e+01,6.268091191911674542e+01
1.110000000000000000e+02,1.737668199766574517e+01,1.667707383418629163e+01,6.594624416814795609e+01
1.120000000000000000e+02,1.742114178554378512e+01,1.336710480235479004e+01,6.921175341210143017e+01
1.130000000000000000e+02,1.746560398339709508e+01,1.005695635123455745e+01,7.247743966536835103e+01
1.140000000000000000e+02,1.751006859142163918e+01,6.746628466236863630e+00,7.574330294234150074e+01
1.150000000000000000e+02,1.755453560981338157e+01,3.436121132771409403e+00,7.900934325741519615e+01
1.160000000000000000e+02,1.847338398141270943e+01,6.855820838675874995e+01,1.296840763182853706e+01
1.170000000000000000e+02,1.851785355872512184e+01,6.525112784589167347e+01,1.623101859538320824e+01
1.180000000000000000e+02,1.856232554546339131e+01,6.194386812262943920e+01,1.949380633190715173e+01
1.190000000000000000e+02,1.860679994182334340e+01,5.863642920240916823e+01,2.275677085576748127e+01
1.200000000000000000e+02,1.865127674800083213e+01,5.532881107066630477e+01,2.601991218133285599e+01
1.210000000000000000e+02,1.869575596419171504e+01,5.202101371283478670e+01,2.928323032297351958e+01
1.220000000000000000e+02,1.874023759059187455e+01,4.871303711434688921e+01,3.254672529506122203e+01
1.230000000000000000e+02,1.878472162739723927e+01,4.540488126063343088e+01,3.581039711196932984e+01
1.240000000000000000e+02,1.882920807480372005e+01,4.209654613712353921e+01,3.907424578807273718e+01
1.250000000000000000e+02,1.887369693300727747e+01,3.878803172924481402e+01,4.233827133774789786e+01
1.260000000000000000e+02,1.891818820220388986e+01,3.547933802242328483e+01,4.560247377537282176e+01
1.270000000000000000e+02,1.896268188258954268e+01,3.217046500208336823e+01,4.886685311532708909e+01
1.280000000000000000e+02,1.900717797436026046e+01,2.886141265364792119e+01,5.213140937199182190e+01
1.290000000000000000e+02,1.905167647771207129e+01,2.555218096253822324e+01,5.539614255974970547e+01
1.300000000000000000e+02,1.909617739284103877e+01,2.224276991417395521e+01,5.866105269298500247e+01
1.310000000000000000e+02,1.914068071994324072e+01,1.893317949397323474e+01,6.192613978608352454e+01
1.320000000000000000e+02,1.918518645921477628e+01,1.562340968735260205e+01,6.519140385343263233e+01
1.330000000000000000e+02,1.922969461085176945e+01,1.231346047972699331e+01,6.845684490942123546e+01
1.340000000000000000e+02,1.927420517505035846e+01,9.003331856509790398e+00,7.172246296843984226e+01
1.350000000000000000e+02,1.931871815200671705e+01,5.693023803112772008e+00,7.498825804488051006e+01
1.360000000000000000e+02,1.936323354191702961e+01,2.382536304946153205e+00,7.825423015313683095e+01
1.370000000000000000e+02,2.028106215391267853e+01,6.750425835151229137e+01,1.221467949457503188e+01
1.380000000000000000e+02,2.032558005078812613e+01,6.419719757602354093e+01,1.547722237318834537e+01
1.390000000000000000e+02,2.037010035967220389e+01,6.088995762182847216e+01,1.873994201849931684e+01
1.400000000000000000e+02,2.041462308076096477e+01,5.758253847436469641e+01,2.200283844487434948e+01
1.410000000000000000e+02,2.045914821425044750e+01,5.427494011906816951e+01,2.526591166668136879e+01
1.420000000000000000e+02,2.050367576033673345e+01,5.096716254137335511e+01,2.852916169828990789e+01
1.430000000000000000e+02,2.054820571921591110e+01,4.765920572671307553e+01,3.179258855407100981e+01
1.440000000000000000e+02,2.059273809108410802e+01,4.435106966051859700e+01,3.505619224839730208e+01
1.450000000000000000e+02,2.063727287613744821e+01,4.104275432821958702e+01,3.831997279564296832e+01
1.460000000000000000e+02,2.068181007457210185e+01,3.773425971524416411e+01,4.158393021018373048e+01
1.470000000000000000e+02,2.072634968658424270e+01,3.442558580701886939e+01,4.484806450639688080e+01
1.480000000000000000e+02,2.077089171237008003e+01,3.111673258896863103e+01,4.811237569866128894e+01
1.490000000000000000e+02,2.081543615212582310e+01,2.780770004651682115e+01,5.137686380135735220e+01
1.500000000000000000e+02,2.085998300604773092e+01,2.449848816508522020e+01,5.464152882886704532e+01
1.510000000000000000e+02,2.090453227433205896e+01,2.118909693009404194e+01,5.790637079557390621e+01
1.520000000000000000e+02,2.094908395717509819e+01,1.787952632696191202e+01,6.117138971586298624e+01
1.530000000000000000e+02,2.099363805477315736e+01,1.456977634110586983e+01,6.443658560412097813e+01
1.540000000000000000e+02,2.103819456732256654e+01,1.125984695794138091e+01,6.770195847473605966e+01
1.550000000000000000e+02,2.108275349501967000e+01,7.949738162882330705e+00,7.096750834209800018e+01
1.560000000000000000e+02,2.112731483806084398e+01,4.639449941341018402e+00,7.423323522059813229e+01
1.570000000000000000e+02,2.117187859664248606e+01,1.328982278728172650e+00,7.749913912462935173e+01
1.580000000000000000e+02,2.208868750825043747e+01,6.645033911140666305e+01,1.146097338034289415e+01
1.590000000000000000e+02,2.213325372184623063e+01,6.314329810155292222e+01,1.472344817660084182e+01
1.600000000000000000e+02,2.217782235003322455e+01,5.983607791668161724e+01,1.798609973328516887e+01
1.610000000000000000e+02,2.222239339300764627e+01,5.652867854223081423e+01,2.124892806476153950e+01
1.620000000000000000e+02,2.226696685096576545e+01,5.322109996363704454e+01,2.451193318539718646e+01
1.630000000000000000e+02,2.231154272410385175e+01,4.991334216633524790e+01,2.777511510956089325e+01
1.640000000000000000e+02,2.235612101261822815e+01,4.660540513575876531e+01,3.103847385162301009e+01
1.650000000000000000e+02,2.240070171670519628e+01,4.329728885733937460e+01,3.430200942595541846e+01
1.660000000000000000e+02,2.244528483656111817e+01,3.998899331650729039e+01,3.756572184693160921e+01
1.670000000000000000e+02,2.248987037238234166e+01,3.668051849869110725e+01,4.082961112892655819e+01
1.680000000000000000e+02,2.253445832436526786e+01,3.337186438931787080e+01,4.409367728631685424e+01
1.690000000000000000e+02,2.257904869270630854e+01,3.006303097381304923e+01,4.735792033348064223e+01
1.700000000000000000e+02,2.262364147760187905e+01,2.675401823760051911e+01,5.062234028479759473e+01
1.710000000000000000e+02,2.266823667924844798e+01,2.344482616610256898e+01,5.388693715464898304e+01
1.720000000000000000e+02,2.271283429784248042e+01,2.013545474473993835e+01,5.715171095741759189e+01
1.730000000000000000e+02,2.275743433358046275e+01,1.682590395893175028e+01,6.041666170748778342e+01
1.740000000000000000e+02,2.280203678665891687e+01,1.351617379409557351e+01,6.368178941924550429e+01
1.750000000000000000e+02,2.284664165727438601e+01,1.020626423564737806e+01,6.694709410707822883e+01
1.760000000000000000e+02,2.289124894562341694e+01,6.896175269001567187e+00,7.021257578537500876e+01
1.770000000000000000e+02,2.293585865190259554e+01,3.585906879570949890e+00,7.347823446852645191e+01
1.780000000000000000e+02,2.298047077630852186e+01,2.754590527667700184e-01,7.674407017092470085e+01
1.790000000000000000e+02,2.389626004674087056e+01,6.539645066509221749e+01,1.070728928816690306e+01
1.800000000000000000e+02,2.394087457421453280e+01,6.208942942113011298e+01,1.396969600465535244e+01
1.810000000000000000e+02,2.398549151886170705e+01,5.878222900583908483e+01,1.723227947529920812e+01
1.820000000000000000e+02,2.403011088087884772e+01,5.547484940465772496e+01,2.049503971446343797e+01
1.830000000000000000e+02,2.407473266046241989e+01,5.216729060302304077e+01,2.375797673651453223e+01
1.840000000000000000e+02,2.411935685780890637e+01,4.885955258637051912e+01,2.702109055582057096e+01
1.850000000000000000e+02,2.416398347311482908e+01,4.555163534013399840e+01,3.028438118675116186e+01
1.860000000000000000e+02,2.420861250657670993e+01,4.224353884974578932e+01,3.354784864367751140e+01
1.870000000000000000e+02,2.425324395839109926e+01,3.893526310063657547e+01,3.681149294097232882e+01
1.880000000000000000e+02,2.429787782875457580e+01,3.562680807823550566e+01,4.007531409300991498e+01
1.890000000000000000e+02,2.434251411786373609e+01,3.231817376797012997e+01,4.333931211416614104e+01
1.900000000000000000e+02,2.438715282591518729e+01,2.900936015526641754e+01,4.660348701881839872e+01
1.910000000000000000e+02,2.443179395310557567e+01,2.570036722554876008e+01,4.986783882134566426e+01
1.920000000000000000e+02,2.447643749963155457e+01,2.239119496423997546e+01,5.313236753612847707e+01
1.930000000000000000e+02,2.452108346568980224e+01,1.908184335676128995e+01,5.639707317754890425e+01
1.940000000000000000e+02,2.456573185147702532e+01,1.577231238853236661e+01,5.966195575999060452e+01
1.950000000000000000e+02,2.461038265718994822e+01,1.246260204497127511e+01,6.292701529783877135e+01
1.960000000000000000e+02,2.465503588302531313e+01,9.152712311494500597e+00,6.619225180548019694e+01
1.970000000000000000e+02,2.469969152917987287e+01,5.842643173516963273e+00,6.945766529730317984e+01
1.980000000000000000e+02,2.474434959585043003e+01,2.532394616451978830e+00,7.272325578769759602e+01
1.990000000000000000e+02,2.459763229469623624e+01,0.000000000000000000e+00,7.540236770530376020e+01
2.000000000000000000e+02,2.570377977169874839e+01,6.434259301121933561e+01,9.953627217081908896e+00
2.010000000000000000e+02,2.574844261020796665e+01,6.103559153340546573e+01,1.321596585638657473e+01
2.020000000000000000e+02,2.579310786847278791e+01,5.772841088795118480e+01,1.647848124357600597e+01
2.030000000000000000e+02,2.583777554668987975e+01,5.442105106029566741e+01,1.974117339301445639e+01
2.040000000000000000e+02,2.588244564505590617e+01,5.111351203587639702e+01,2.300404231906768970e+01
2.050000000000000000e+02,2.592711816376758094e+01,4.780579380012935076e+01,2.626708803610306830e+01
2.060000000000000000e+02,2.597179310302159649e+01,4.449789633848890702e+01,2.953031055848948583e+01
2.070000000000000000e+02,2.601647046301470567e+01,4.118981963638787391e+01,3.279370990059740620e+01
2.080000000000000000e+02,2.606115024394365776e+01,3.788156367925747503e+01,3.605728607679885300e+01
2.090000000000000000e+02,2.610583244600525177e+01,3.457312845252735656e+01,3.932103910146739878e+01
2.100000000000000000e+02,2.615051706939626186e+01,3.126451394162556596e+01,4.258496898897816862e+01
2.110000000000000000e+02,2.619520411431354034e+01,2.795572013197861239e+01,4.584907575370786503e+01
2.120000000000000000e+02,2.623989358095390045e+01,2.464674700901138138e+01,4.911335941003472527e+01
2.130000000000000000e+02,2.628458546951423358e+01,2.133759455814720951e+01,5.237781997233855691e+01
2.140000000000000000e+02,2.632927978019141690e+01,1.802826276480784884e+01,5.564245745500072360e+01
2.150000000000000000e+02,2.637397651318236669e+01,1.471875161441345270e+01,5.890727187240418772e+01
2.160000000000000000e+02,2.641867566868399919e+01,1.140906109238261834e+01,6.217226323893338957e+01
2.170000000000000000e+02,2.646337724689327686e+01,8.099191184132340737e+00,6.543743156897437530e+01
2.180000000000000000e+02,2.650808124800716570e+01,4.789141875078054333e+00,6.870277687691478263e+01
2.190000000000000000e+02,2.655278767222265657e+01,1.478913150633593743e+00,7.196829917714374858e+01
2.200000000000000000e+02,2.611912603143770539e+01,0.000000000000000000e+00,7.388087396856229816e+01
2.210000000000000000e+02,2.751124668543868523e+01,6.328876614843852622e+01,9.199987166122804538e+00
2.220000000000000000e+02,2.755595783214133121e+01,5.998178443702939688e+01,1.246225773082926658e+01
2.230000000000000000e+02,2.760067140118146511e+01,5.667462356166834780e+01,1.572470503715018886e+01
2.240000000000000000e+02,2.764538739275592860e+01,5.336728350779497987e+01,1.898732909944907732e+01
2.250000000000000000e+02,2.769010580706162017e+01,5.005976426084737341e+01,2.225012993209099932e+01
2.260000000000000000e+02,2.773482664429543121e+01,4.675206580626197450e+01,2.551310754944259784e+01
2.270000000000000000e+02,2.777954990465428153e+01,4.344418812947368025e+01,2.877626196587203466e+01
2.280000000000000000e+02,2.782427558833512293e+01,4.013613121591581034e+01,3.203959319574906317e+01
2.290000000000000000e+02,2.786900369553492141e+01,3.682789505102009997e+01,3.530310125344497862e+01
2.300000000000000000e+02,2.791373422645066427e+01,3.351947962021669980e+01,3.856678615333264304e+01
2.310000000000000000e+02,2.795846718127934949e+01,3.021088490893419376e+01,4.183064790978644254e+01
2.320000000000000000e+02,2.800320256021802123e+01,2.690211090259959192e+01,4.509468653718238329e+01
2.330000000000000000e+02,2.804794036346373076e+01,2.359315758663828788e+01,4.835890204989797070e+01
2.340000000000000000e+02,2.809268059121354710e+01,2.028402494647414400e+01,5.162329446231230889e+01
2.350000000000000000e+02,2.813742324366456771e+01,1.697471296752940972e+01,5.488786378880603678e+01
2.360000000000000000e+02,2.818216832101390068e+01,1.366522163522476419e+01,5.815261004376133513e+01
2.370000000000000000e+02,2.822691582345868611e+01,1.035555093497931445e+01,6.141753324156200478e+01
2.380000000000000000e+02,2.827166575119608893e+01,7.045700852210569742e+00,6.468263339659333155e+01
2.390000000000000000e+02,2.831641810442327412e+01,3.735671372334476104e+00,6.794791052324224268e+01
2.400000000000000000e+02,2.836117288333746700e+01,4.254624807653814011e-01,7.121336463589715038e+01
2.410000000000000000e+02,2.760941883081691728e+01,0.000000000000000000e+00,7.239058116918309338e+01
2.420000000000000000e+02,2.936342024232931180e+01,5.892800813065244370e+01,1.170857162701824628e+01
2.430000000000000000e+02,2.940818211930259096e+01,5.562086702564099738e+01,1.497095085505641165e+01
2.440000000000000000e+02,2.945294642139203845e+01,5.231354674580610720e+01,1.823350683280183659e+01
2.450000000000000000e+02,2.949771314879477302e+01,4.900604727658636506e+01,2.149623957461886548e+01
2.460000000000000000e+02,2.954248230170787437e+01,4.569836860341872153e+01,2.475914909487340765e+01
2.470000000000000000e+02,2.958725388032848613e+01,4.239051071173858531e+01,2.802223540793292145e+01
2.480000000000000000e+02,2.963202788485375549e+01,3.908247358697980900e+01,3.128549852816644261e+01
2.490000000000000000e+02,2.967680431548085807e+01,3.577425721457461094e+01,3.454893846994453810e+01
2.500000000000000000e+02,2.972158317240698366e+01,3.246586157995368183e+01,3.781255524763933806e+01
2.510000000000000000e+02,2.976636445582935409e+01,2.915728666854609941e+01,4.107634887562453230e+01
2.520000000000000000e+02,2.981114816594521244e+01,2.584853246577938890e+01,4.434031936827540221e+01
2.530000000000000000e+02,2.985593430295180184e+01,2.253959895707947325e+01,4.760446673996872136e+01
2.540000000000000000e+02,2.990072286704641513e+01,1.923048612787071221e+01,5.086879100508286911e+01
2.550000000000000000e+02,2.994551385842634872e+01,1.592119396357587391e+01,5.413329217799777382e+01
2.560000000000000000e+02,2.999030727728893453e+01,1.261172244961615085e+01,5.739797027309491284e+01
2.570000000000000000e+02,3.003510312383149738e+01,9.302071571411159923e+00,6.066282530475734092e+01
2.580000000000000000e+02,3.007990139825142251e+01,5.992241314378935257e+00,6.392785728736964757e+01
2.590000000000000000e+02,3.012470210074608090e+01,2.682231663935922494e+00,6.719306623531799971e+01
2.600000000000000000e+02,2.998123584406669551e+01,0.000000000000000000e+00,7.001876415593331160e+01
2.610000000000000000e+02,3.117082984308643390e+01,5.787426261292517893e+01,1.095490754398838185e+01
2.620000000000000000e+02,3.121564002515088632e+01,5.456714127851969209e+01,1.421721869632941981e+01
2.630000000000000000e+02,3.126045263491313264e+01,5.125984077297953689e+01,1.747970659210733047e+01
2.640000000000000000e+02,3.130526767257046217e+01,4.795236108174380263e+01,2.074237124568572455e+01
2.650000000000000000e+02,3.135008513832019972e+01,4.464470219024997988e+01,2.400521267142981330e+01
2.660000000000000000e+02,3.139490503235968077e+01,4.133686408393399603e+01,2.726823088370633386e+01
2.670000000000000000e+02,3.143972735488626569e+01,3.802884674823017264e+01,3.053142589688357944e+01
2.680000000000000000e+02,3.148455210609731481e+01,3.472065016857126807e+01,3.379479772533141357e+01
2.690000000000000000e+02,3.152937928619025598e+01,3.141227433038850236e+01,3.705834638342124521e+01
2.700000000000000000e+02,3.157420889536249931e+01,2.810371921911144000e+01,4.032207188552605714e+01
2.710000000000000000e+02,3.161904093381149394e+01,2.479498482016812488e+01,4.358597424602037051e+01
2.720000000000000000e+02,3.166387540173471038e+01,2.148607111898500577e+01,4.685005347928029806e+01
2.730000000000000000e+02,3.170871229932962265e+01,1.817697810098693623e+01,5.011430959968343757e+01
2.740000000000000000e+02,3.175355162679375098e+01,1.486770575159721197e+01,5.337874262160904237e+01
2.750000000000000000e+02,3.179839338432461915e+01,1.155825405623753888e+01,5.664335255943784375e+01
2.760000000000000000e+02,3.184323757211978290e+01,8.248623000328040078e+00,5.990813942755218591e+01
2.770000000000000000e+02,3.188808419037680864e+01,4.938812569287258647e+00,6.317310324033593361e+01
2.780000000000000000e+02,3.193293323929329830e+01,1.628822748532168685e+00,6.643824401217453612e+01
2.790000000000000000e+02,3.144901776694165463e+01,0.000000000000000000e+00,6.855098223305833471e+01
2.800000000000000000e+02,3.302304512104095835e+01,5.351344631895506154e+01,1.346350856000400142e+01
2.810000000000000000e+02,3.306790603563396758e+01,5.020616558796583462e+01,1.672592837640020136e+01
2.820000000000000000e+02,3.311276938070366782e+01,4.689870567497023046e+01,1.998852494432610882e+01
2.830000000000000000e+02,3.315763515644756154e+01,4.359106656540625124e+01,2.325129827814619432e+01
2.840000000000000000e+02,3.320250336306320094e+01,4.028324824471030752e+01,2.651424839222648444e+01
2.850000000000000000e+02,3.324737400074815952e+01,3.697525069831728217e+01,2.977737530093456186e+01
2.860000000000000000e+02,3.329224706970001080e+01,3.366707391166043095e+01,3.304067901863956536e+01
2.870000000000000000e+02,3.333712257011637092e+01,3.035871787017144285e+01,3.630415955971217556e+01
2.880000000000000000e+02,3.338200050219487025e+01,2.705018255928045434e+01,3.956781693852467896e+01
2.890000000000000000e+02,3.342688086613316045e+01,2.374146796441599250e+01,4.283165116945085060e+01
2.900000000000000000e+02,3.347176366212890741e+01,2.043257407100501766e+01,4.609566226686607138e+01
2.910000000000000000e+02,3.351664889037981254e+01,1.712350086447291275e+01,4.935985024514726405e+01
