# Ag_b,Pd_b,Pt_b,Ru_b,Ag_f,Pd_f,Pt_f,Ru_f,Ag_f3,Pd_f3,Pt_f3,Ru_f3,S_d
0.40,0.00,0.20,0.40,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.0000
0.40,0.00,0.10,0.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.0000
0.40,0.00,0.00,0.60,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.0000
0.30,0.70,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.0000
0.30,0.60,0.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.0000
0.30,0.60,0.00,0.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.0000
0.30,0.50,0.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.0000
0.30,0.50,0.10,0.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.0000
0.30,0.50,0.00,0.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.0000
0.30,0.40,0.30,0.00,0.29,0.40,0.31,0.00,0.29,0.38,0.33,0.00,0.7133
0.30,0.40,0.20,0.10,0.29,0.44,0.27,0.00,0.27,0.40,0.25,0.08,0.4267
0.30,0.40,0.10,0.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.0000
0.30,0.40,0.00,0.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.0000
0.30,0.30,0.40,0.00,0.30,0.31,0.39,0.00,0.30,0.28,0.42,0.00,0.8250
0.30,0.30,0.30,0.10,0.32,0.33,0.35,0.00,0.30,0.30,0.33,0.07,0.5567
0.30,0.30,0.20,0.20,0.36,0.37,0.27,0.00,0.28,0.31,0.26,0.15,0.2900
0.30,0.30,0.10,0.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.0000
0.30,0.30,0.00,0.40,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.0000
0.30,0.20,0.50,0.00,0.30,0.21,0.49,0.00,0.30,0.19,0.51,0.00,0.8917
0.30,0.20,0.40,0.10,0.34,0.21,0.45,0.00,0.31,0.19,0.44,0.07,0.5817
0.30,0.20,0.30,0.20,0.32,0.28,0.40,0.00,0.30,0.20,0.36,0.14,0.3800
0.30,0.20,0.20,0.30,0.39,0.33,0.28,0.00,0.30,0.22,0.28,0.20,0.2700
0.30,0.20,0.10,0.40,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.0000
